,id,realm,region,displayName,favoriteRace,clanTag,previousRank,points,wins,losses,mmr,joinTimestamp
0,2060165,1,1,Astrea,αX,protoss,0,519,28,11,6488.0,1673841574
1,6438678,1,1,trigger,BASKGG,protoss,2,1530,113,48,6293.0,1673582378
2,4411090,1,1,MillForGG,,terran,3,1606,238,112,6179.0,1673582378
3,10440843,1,1,thrrepoint,PTHero,zerg,0,754,63,30,6120.0,1673582378
4,10119511,1,1,HonMonO,PREP,terran,0,761,66,17,6100.0,1673582378
5,383770,1,1,Vindicta,CrnKy,terran,0,830,61,27,6073.0,1673582378
6,3164731,1,1,eXaScaLe,SUPERA,protoss,0,153,26,4,6038.0,1673582378
7,3427200,1,1,WrockEr,TGosuP,protoss,0,271,72,43,6005.0,1673582378
8,8212512,1,1,FiveKPackage,,zerg,0,197,29,17,6000.0,1673582378
9,11282328,1,1,ZergOpRace,UkkoSC,zerg,0,384,43,14,5992.0,1673927977
10,2452970,1,1,Marshall,TGosuP,protoss,0,265,21,9,5934.0,1673582378
11,10175649,1,1,SpiderMan,TGosuP,protoss,0,526,30,22,5930.0,1674100770
12,11282213,1,1,Woah,UkkoSC,zerg,0,143,25,8,5891.0,1673582378
13,20391264,1,1,MapeTheApe,,protoss,14,1343,81,64,5885.0,1673582378
14,11231233,1,1,ZergLUL,eGGzSC,zerg,0,785,38,20,5835.0,1674014379
15,11282470,1,1,CantStopMe,UkkoSC,zerg,0,178,16,15,5824.0,1673582378
16,12249385,1,1,llllllllllll,,zerg,20,1332,127,78,5813.0,1673582378
17,2689667,1,1,MightyKiwi,,zerg,24,454,72,20,5761.0,1673755172
18,11282354,1,1,RageQueue,UkkoSC,zerg,0,375,22,22,5755.0,1673755172
19,11102881,1,1,llllllllllll,,protoss,19,1292,171,87,5738.0,1673582378
20,11282472,1,1,ImBangsMom,UkkoSC,,0,304,22,12,,1673668780
21,11546942,1,1,iAMBacK,,terran,0,1124,75,44,5705.0,1674014379
22,11282235,1,1,Autorefresh,UkkoSC,zerg,0,151,19,12,5698.0,1673582378
23,2342054,1,1,Zero,Perfec,terran,20,1132,87,61,5663.0,1673582378
24,3548694,1,1,IIIIIIIIIIII,,zerg,0,622,20,15,5606.0,1674273575
25,2192180,1,1,PiG,PiGPan,random,0,757,38,33,5601.0,1673582378
26,1204822,1,1,Ruiyichi,APPR,protoss,25,769,35,24,5594.0,1673582378
27,2060165,1,1,Astrea,αX,terran,0,499,22,9,5582.0,1674273575
28,7290428,1,1,MeomaikA,Msia,zerg,0,921,53,35,5575.0,1674014379
29,9816384,1,1,TEAMDAODaSh,TDAO,protoss,0,558,46,8,5565.0,1673582378
30,12310699,1,1,Amaterasu,,zerg,37,476,30,12,5555.0,1673582378
31,2868603,1,1,pezzaperry,,protoss,0,417,13,18,5543.0,1674014379
32,11753039,1,1,Entrepl,,terran,0,366,23,7,5542.0,1673841574
33,10950240,1,1,omgabanana,weL0ve,zerg,0,512,30,23,5536.0,1673582378
34,10231591,1,1,llllllllllll,,protoss,0,818,59,21,5534.0,1673582378
35,12271005,1,1,CanadianApe,TGosuP,protoss,31,799,71,65,5517.0,1673582378
36,1272411,2,1,MMRDelivery,,zerg,0,644,30,20,5516.0,1674014379
37,10477060,1,1,LiLppMcGEE,IittIe,zerg,0,282,5,4,5507.0,1673668780
38,11846316,1,1,llllllllllll,,protoss,0,819,71,6,5490.0,1673841574
39,5739171,1,1,Yoyo,PTHero,zerg,0,433,21,18,5480.0,1673841574
40,20724917,1,1,DikHeadTeran,,terran,0,722,53,41,5470.0,1673582378
41,7676015,1,1,Angrykimchi,,terran,36,586,34,19,5463.0,1673582378
42,1611575,1,1,RayReign,RRDZ,protoss,53,1011,138,91,5455.0,1673582378
43,6197894,1,1,Change,,protoss,0,299,30,4,5432.0,1673582378
44,20845154,1,1,Hupsaiya,PSISTM,protoss,48,1023,113,83,5420.0,1673582378
45,5739171,1,1,Yoyo,PTHero,protoss,0,990,97,67,5400.0,1673755172
46,405571,2,1,Kamikaze,eX,terran,80,796,91,34,5396.0,1673582378
47,20364915,1,1,Dice,DrgnEg,terran,43,987,73,69,5395.0,1673582378
48,2906329,1,1,daDDy,,terran,0,348,22,22,5390.0,1673582378
49,3746343,1,1,Codebar,,zerg,0,487,31,16,5386.0,1674014379
50,12754379,1,1,paper,,protoss,55,858,86,54,5373.0,1673582378
51,11051285,1,1,NAchobo,Yeat,protoss,52,903,66,39,5339.0,1673582378
52,10753699,1,1,Erudition,,zerg,0,343,24,9,5327.0,1674446378
53,2868603,1,1,pezzaperry,,,52,481,41,25,,1673582378
54,20255241,1,1,RANCHDUBOIS,,zerg,0,683,25,22,5313.0,1674187172
55,8572795,1,1,Shaggy,,zerg,0,564,25,12,5312.0,1674273575
56,562608,1,1,NamhciR,ROOT,terran,0,543,25,9,5310.0,1674187172
57,20131882,1,1,Puki,,,66,595,60,20,,1673582378
58,2722901,1,1,PracticeX,xGenGx,terran,50,691,33,32,5308.0,1673755172
59,2834476,1,1,Goomba,TGosuP,terran,79,810,105,64,5306.0,1673582378
60,810627,1,1,Jason,juggr,terran,24,1027,195,134,5306.0,1673582378
61,12745828,1,1,llllllllllll,,terran,56,813,53,26,5300.0,1673582378
62,2444691,1,1,Skye,LTK,terran,0,431,15,7,5299.0,1674273575
63,129450,2,1,INexoRable,eX,terran,59,656,34,20,5287.0,1673582378
64,4516517,1,1,OOOOOOOOOOOO,,zerg,0,428,30,8,5286.0,1674187172
65,20014064,1,1,Alopex,Ðonkey,zerg,0,255,21,9,5281.0,1674187172
66,1656173,1,1,acheron,BBEx,protoss,0,653,36,15,5279.0,1673841574
67,20419103,1,1,llllllllllll,,protoss,0,164,32,19,5277.0,1673582378
68,8117265,1,1,llllllllllll,,terran,0,183,3,3,5276.0,1674359976
69,10727098,1,1,DolorousEdd,,protoss,0,325,20,11,5265.0,1673668780
70,4424835,1,1,llllllllllll,,protoss,0,637,83,40,5255.0,1673582378
71,3348090,1,1,aviloSoAmaze,aivNA,terran,78,478,22,21,5255.0,1673582378
72,621032,1,1,Phog,,zerg,70,864,90,54,5246.0,1673582378
73,1310301,2,1,RyoGin,UpeV,zerg,0,725,36,25,5243.0,1673927977
74,5501770,1,1,PattyMac,,terran,76,906,74,43,5239.0,1673841574
75,20031070,1,1,Arrtitek,SNlPED,protoss,0,225,7,3,5238.0,1673582378
76,12756355,1,1,Gorgoroth,,terran,0,390,26,9,5230.0,1673841574
77,329730,1,1,llllllllllll,,terran,78,906,119,93,5227.0,1673582378
78,12694165,1,1,Moondeer,lulu32,zerg,66,301,41,18,5214.0,1673582378
79,627332,2,1,Rescue,MadK,zerg,50,745,47,29,5211.0,1673582378
80,687150,1,1,SirRobin,,zerg,0,439,18,12,5209.0,1674187172
81,5169619,1,1,Boomhauer,TGosuP,protoss,82,787,78,53,5204.0,1673582378
82,1396009,1,1,bowlcut,MORMEN,zerg,75,660,41,32,5198.0,1673582378
83,6194494,1,1,Archenemy,,terran,89,888,145,118,5191.0,1673582378
84,10743445,1,1,wandehaoa,,protoss,0,410,22,10,5189.0,1674014379
85,11680583,1,1,Shoto,,zerg,0,312,36,15,5178.0,1673582378
86,20130332,1,1,SouL,,protoss,0,243,44,11,5176.0,1673582378
87,10256635,1,1,tavo,LTK,random,0,438,32,18,5174.0,1673582378
88,2955099,1,1,Ambition,LTK,terran,0,648,29,22,5173.0,1673841574
89,3939515,1,1,Illias,,protoss,0,743,86,30,5169.0,1674014379
90,20087215,1,1,KingFupa,MANBUN,terran,99,822,196,125,5163.0,1673582378
91,10476032,1,1,Empress,,zerg,89,477,55,30,5160.0,1673582378
92,12540176,1,1,RocheLimit,,terran,84,767,64,36,5157.0,1673582378
93,11837207,1,1,FayeOnTwitch,TGosuP,zerg,103,531,25,18,5150.0,1673582378
94,20424441,1,1,Smile,2dbest,terran,0,464,34,14,5148.0,1673755172
95,4790138,1,1,zarmanpg,,zerg,69,839,95,59,5143.0,1673582378
96,10393613,1,1,Darlene,,protoss,0,496,78,45,5131.0,1673582378
97,6018761,1,1,Cyanine,EZDUNK,terran,107,480,34,20,5127.0,1673668780
98,3043165,1,1,ShadowThor,,protoss,0,331,20,10,5126.0,1674446378
99,4762806,1,1,Metropolis,BKSB,terran,0,633,28,27,5123.0,1674014379
100,12200729,1,1,Marauder,,terran,100,659,52,44,5113.0,1673582378
101,678819,2,1,BrEnDaN,Lp,zerg,90,440,21,17,5113.0,1673582378
102,1827704,1,1,Eurystheus,,terran,118,682,42,42,5112.0,1673755172
103,20300003,1,1,Zinho,,protoss,0,621,50,31,5106.0,1674014379
104,8404194,1,1,Sorde,,terran,0,243,38,32,5102.0,1673582378
105,349351,1,1,Lolebiv,VFam,zerg,94,802,119,88,5097.0,1673582378
106,12521255,1,1,Capslock,eX,protoss,103,739,67,46,5090.0,1673582378
107,8327948,1,1,Golden,,zerg,83,645,32,59,5086.0,1673582378
108,12469217,1,1,CashyCans,,terran,0,456,17,13,5080.0,1674446378
109,20221556,1,1,PapiApe,,protoss,106,339,33,17,5074.0,1673582378
110,10125861,1,1,IIIIIIIIIIII,,zerg,0,608,27,16,5072.0,1674100770
111,450542,1,1,CammyGreen,TGosuP,protoss,101,491,30,27,5070.0,1673755172
112,20422491,1,1,what,,zerg,0,507,124,88,5069.0,1673582378
113,1376017,1,1,Flobio,,protoss,106,519,33,21,5061.0,1673668780
114,11789418,1,1,HesiJimbo,,protoss,135,827,270,215,5058.0,1673582378
115,3128151,1,1,fullheart,ROOT,zerg,148,717,60,50,5050.0,1673582378
116,12716857,1,1,AntiMeomaikA,,terran,0,73,0,1,5047.0,1674446378
117,4964528,1,1,llllllllllll,,terran,0,546,33,21,5047.0,1673582378
118,8039025,1,1,UPERS,,terran,79,622,55,45,5044.0,1673582378
119,20013804,1,1,Pezz,,zerg,0,447,31,23,5041.0,1674273575
120,2222066,1,1,Pox,FDAVID,zerg,0,530,29,14,5038.0,1674100770
121,377635,1,1,bigdumb,,terran,115,682,60,49,5036.0,1673582378
122,5005941,1,1,Sonny,αX,protoss,102,765,144,109,5035.0,1673582378
123,10974084,1,1,deeper,,terran,133,772,61,44,5034.0,1673582378
124,437579,1,1,JmaC,,zerg,145,742,94,75,5028.0,1673582378
125,1655262,1,1,DrinkSlurm,,protoss,0,648,46,27,5028.0,1674100770
126,1517990,2,1,TheMachine,,terran,105,288,67,43,5027.0,1673582378
127,639714,1,1,Bonkarooni,,protoss,0,328,18,15,5026.0,1673582378
128,10191746,1,1,ALLMIGHT,neuroS,zerg,0,637,45,29,5021.0,1673927977
129,20004022,1,1,ZERO,LTK,zerg,0,659,26,21,5017.0,1674014379
130,1316713,1,1,NetMecH,,terran,0,122,16,14,5015.0,1673582378
131,7671976,1,1,Dolan,CrnKy,zerg,120,745,109,76,5015.0,1673582378
132,12456843,1,1,Morgan,,zerg,0,407,19,18,5008.0,1674014379
133,10149483,1,1,ArnottsJatz,,terran,0,418,88,62,5006.0,1673582378
134,327563,1,1,aviloSoAmaze,aviNA,terran,152,700,123,92,5005.0,1673582378
135,12665077,1,1,Deceive,,terran,0,655,34,22,4999.0,1673927977
136,8711233,1,1,universe,BRSKR,terran,0,73,0,1,4994.0,1674446378
137,20724917,1,1,DikHeadTeran,,protoss,0,576,36,24,4993.0,1673755172
138,3327948,1,1,aeis,TGosuD,,130,198,14,16,,1673582378
139,20584835,1,1,Oddjob,,zerg,0,281,22,8,4989.0,1673582378
140,1613079,1,1,llllllllllll,,random,0,569,93,65,4979.0,1674273575
141,2188016,1,1,Micromancer,,terran,149,693,67,51,4978.0,1673582378
142,4327376,1,1,moudoudou,Slayor,zerg,0,359,15,15,4976.0,1673927977
143,1990057,1,1,oPZesty,GdAT,zerg,129,684,72,49,4974.0,1673582378
144,20802048,1,1,Ketchy,,protoss,0,653,43,30,4973.0,1674187172
145,867686,1,1,RuFF,PSISTM,terran,0,701,44,28,4972.0,1674100770
146,5079063,1,1,jimmymicro,,zerg,0,364,15,15,4970.0,1674359976
147,2890942,1,1,BlackWing,αB,zerg,170,687,43,39,4970.0,1673582378
148,10231016,1,1,PhleBuster,DarkAG,zerg,0,439,19,11,4963.0,1674359976
149,10231591,1,1,llllllllllll,,zerg,0,451,18,18,4959.0,1673841574
