,id,realm,region,displayName,favoriteRace,clanTag,previousRank,points,wins,losses,mmr,joinTimestamp
0,8761360,1,2,lllIlllIllIl,protoss,,0,610,29,5,7027,1674331171
1,5357527,1,2,SKillous,protoss,LQD,0,552,26,5,6644,1674331171
2,8733050,1,2,MacroTerran,terran,,1,1731,106,24,6621,1673553571
3,8057715,1,2,KEKW,protoss,,3,1323,76,29,6235,1673553571
4,9471286,1,2,IIIIIIIIIIII,protoss,,0,941,46,14,6235,1674071978
5,1143713,1,2,marcj,terran,St0rmG,0,290,24,8,6209,1673553571
6,2188427,2,2,Replicant,terran,НТТ,0,668,31,8,6199,1673985577
7,2256208,1,2,PAPI,protoss,lnFeS,0,546,27,9,6191,1674071978
8,2594031,1,2,ForJumY,protoss,K10GG,2,1372,101,52,6164,1673553571
9,7552749,1,2,Arrogfire,protoss,αX,0,477,18,13,6157,1674244770
10,2442671,2,2,llllllllllll,zerg,,0,73,0,1,6157,1674417574
11,809005,1,2,AqueroN,terran,Heroes,0,612,29,12,6146,1673985577
12,6958803,1,2,trigger,protoss,BASKGG,8,1465,102,44,6141,1673553571
13,4143155,1,2,milkicow,terran,CS0,7,1166,51,34,6130,1673553571
14,7119513,1,2,llllllllllll,protoss,,9,1127,56,21,6120,1673553571
15,1530473,1,2,HateMe,zerg,Heroes,15,1315,84,46,6106,1673553571
16,3437681,1,2,Lambo,protoss,RBLN,15,1092,61,26,6088,1673553571
17,9237128,1,2,IIIIIIIIIIII,protoss,,0,640,34,12,6084,1673726373
18,2102879,1,2,Moja,terran,,18,1443,118,72,6059,1673553571
19,7451310,1,2,Nicoract,terran,PSISTM,16,1351,134,71,6017,1673553571
20,4054275,1,2,BabyMarine,terran,TRotti,18,1148,40,29,5962,1673553571
21,8218796,1,2,DimSumLove,protoss,TRotti,0,395,70,37,5962,1673553571
22,1922127,2,2,Nikich,zerg,PLA2N,0,581,13,3,5912,1674331171
23,4451316,1,2,Trifax,zerg,CS0,25,1070,79,59,5903,1673553571
24,3848886,1,2,Robbie,protoss,NoCap,22,1019,48,17,5890,1673553571
25,3692501,1,2,Vindicta,terran,CranKy,0,299,22,17,5867,1673553571
26,809005,1,2,AqueroN,protoss,Heroes,34,1203,62,37,5849,1673726373
27,2521880,2,2,Blade,terran,,28,877,20,13,5827,1673726373
28,4853929,1,2,EStoryteller,zerg,PSISTM,0,628,33,16,5800,1673726373
29,7937617,1,2,llllllllllll,protoss,,0,454,17,15,5797,1674071978
30,3167602,1,2,MaxPax,terran,PSISTM,0,624,21,16,5789,1674244770
31,8280908,1,2,IIIIIIIIIIII,protoss,,0,1190,60,41,5779,1673899177
32,9537891,1,2,llllllllllll,protoss,,0,645,26,14,5776,1673812775
