,id,realm,region,displayName,favoriteRace,clanTag,previousRank,points,wins,losses,mmr,joinTimestamp
0,2450589,1,3,Prince,protoss,,0,944,30,5,6294.0,1673780376
1,6359791,1,3,iiiiiiiiiiii,protoss,,6,1091,51,19,6110.0,1673521174
2,4165224,1,3,Scarlett,random,RBLN,0,418,30,10,6099.0,1673521174
3,6663897,1,3,llllllllllll,protoss,,0,169,5,0,6088.0,1674212370
4,4165224,1,3,Scarlett,zerg,RBLN,0,347,21,9,6085.0,1674385172
5,7112731,1,3,llllllllllll,terran,,0,926,20,7,6037.0,1674298771
6,6692257,1,3,Akira,protoss,常败将军,0,73,1,0,6000.0,1673521174
7,5713844,1,3,견쌍섭,zerg,Heroes,6,1429,175,80,5897.0,1673521174
8,4184196,1,3,llllllllllll,terran,,0,193,5,5,5842.0,1674385172
9,6287904,1,3,llllllllllll,protoss,,0,639,16,4,5828.0,1673953178
10,1001315,2,3,Rex,zerg,ONSYDE,0,273,8,4,5807.0,1674385172
11,4004729,1,3,QuanTa,terran,TeamNV,8,1202,111,61,5782.0,1673521174
12,7220095,1,3,ChosenOne,protoss,MYG,9,1287,110,62,5764.0,1673521174
13,3966178,1,3,llllllllIIll,terran,,0,94,1,1,5759.0,1673953178
14,5029227,1,3,IIIIIIIIIII,zerg,,12,1282,217,149,5704.0,1673521174
15,5743068,1,3,LinkinPark,terran,린킨파크,0,281,6,4,5698.0,1674385172
16,1328422,2,3,llllllllllll,zerg,,0,420,32,23,5685.0,1673521174
17,4098759,1,3,VALHALLA,zerg,,24,962,77,36,5678.0,1673521174
18,3835058,1,3,lllllllllll,protoss,,0,869,59,8,5670.0,1673521174
19,4662298,1,3,이지안,protoss,,0,911,66,47,5666.0,1673521174
20,6310888,1,3,llllllllllll,terran,,0,1059,61,33,5661.0,1673953178
21,7606332,1,3,llllllllllll,terran,,0,784,21,9,5614.0,1674039579
22,5554511,1,3,llllllllllll,zerg,,0,1006,40,23,5604.0,1673607575
23,6332517,1,3,llllllllllll,protoss,,0,304,20,20,5595.0,1673607575
